0000000002|2017-12-26T21:57:02.000+01:00|CLIE|suite a notre rencontre|bonjour, prelevements : pouvez-vous annuler des a present les virements suivants (pas besoin d'attendre NNNN comme on en avait parle): - mutNm de NN.NN euros le NN de chaque mois (mutuelle) - scp sainte beuve et darras : NNN euros le N de chaque mois (loyer) carte bancaire : j'ai besoin de pouvoir faire des achats avec ma cb sur internet au mois de janvier directement sur internet (caution location vehicule). pouvez-vous m'activer l'autorisation sur janvier ? assurance habitation : le logement pour lequel nous avons fait une simulation pour l'assurance habitation date de NNNN. il y a egalement une petite cave. l'immeuble fait N etage et je suis au cinquieme. est-ce que la cotisation du logement reste la meme par rapport au devis ? vu que ma cotisation pour mon logement actuel a ete payee pour l'XXXXe, est-ce que cela va etre deduit de ma cotisation pour le logement de lyon ? frais : avez-vous eu des retours concernant l'annulation des frais dont nous avons parle ? merci d'avance pour votre aide. cordialement. XXXXXXX XXXX-XXXX
0000000003|2017-12-10T21:45:00.000+01:00|CLIE|envoi de carte a l'etranger|bonjour m. XXXXX. j'ai recu un message m'avisant que ma nouvelle carte mastercard etait disponible a mon agence. serait-il possible de me l'envoyer a mon adresse au canada ou je vis ? cordialement, XXXXX XXXXXXXX. NNNN rue elizabeth saint-laurent, qc hNl NlN canada
0000000003|2017-12-14T03:07:11.000+01:00|CLIE|re : re: envoi de carte a l'etranger|bonjour m. XXXXX. je viens de recevoir ma nouvelle carte, vous pouvez la faire activer. je vous remercie ! cordialement, XXXXX XXXXXXXX.
0000000004|2017-12-24T16:17:45.000+01:00|CLIE|factures travaux|factures travaux
0000000004|2017-12-24T16:20:13.000+01:00|CLIE|factures travaux|factures travaux
0000000005|2017-12-12T13:35:31.000+01:00|CLIE|reglement des preferences|bonjour, comment promis, apres avoir vu cela avec votre responsable d'agence, je suis en mesure de vous rembourser l'integralite de mon preference ainsi que celui de mon epouse. dans un second temps vers la mi-janvier nous vous reglerons comme convenu nos deux decouverts. en vous remerciant de nous dire comment proceder pour le remboursement de nos deux preferences une fois ceux-ci soldee, pourriez-vous nous fournir le document indiquant de cloture de nos deux preferences ? en vous remerciant de votre reponse cordialement XXXXX XXXXXXX NNNNNNNNNN
0000000005|2017-12-19T19:01:36.000+01:00|CLIE|re : re: reglement des preferences|bonjour madame XXXXXXXX, quelle surprise de vous apercevoir dans votre bureau alors que nous avions rdv a NN h je fais a plusieurs reprises une reclamation aupres de votre banque pour des frais indument preleves sur mon compte encore recemment NN euros pour refus de prelevement et idem pour free et michel jacq, je fais preparer par mon conseil une lettre recommandee afin que vous me remboursiez des sommes que vous n'aviez pas a prelever sur mon compte car les prelevements avaient ete annules ici meme sur le site, j'ai garde les precipices. en vous remerciant de faire le necessaire, rien que pour l'image de votre agence qui commence franchement a devenir desastreuse. heureusement que mon epouse et moi avons clotures ce compte car vous etiez en train de nous ruiner j'espere qu'une lettre recommandee suffira XXXXX XXXXXXX 
0000000006|2017-12-12T14:50:09.000+01:00|CLIE|re : re: reglement par nos soins|bjr, nous avons les fonds pour vous rembourser les deux preferences, il vous suffit de me donner le montant de mon preference et celui de mon epouse madame XXXXX. il s'agit d'un pret que nous avons effectue dans une autre agence... celle-ci n'est pas mesure de vous faire un cheque... nous sommes seuls en mesure de vous le faire. XXXXX XXXXXXX 
0000000007|2017-12-13T17:36:32.000+01:00|CLIE|solde decouverts et preferences|bonjour, j'ai rdv avec XXXXXXXX XXXXXXXX le binome de votre conseiller(ere), je serai accompagne de mon epouse madame XXXXX XXXXXXX afin de solder nos preferences et nos deux decouverts. a mardi donc NN h XXXXX XXXXXXX et XXXXXXXX XXXXX XXXXXXX
0000000009|2017-12-19T16:49:20.000+01:00|CLIE|decomptes pour remboursement anticipe|bonjour mr floch, pouvez-vous me fournir la totalite de mes decomptes, s'il vous plait? cordialement XXXXXXXX XXXX
0000000010|2017-12-04T23:05:23.000+01:00|CLIE|opposition cheque|bonjour j'ai verse a un plombier un cheque d'acompte pour travaux il me dit l'avoir perdu. il m'a donc fait une attestation ecrite que je joint au message. le numero de cheque est NNNNNNN est ce necessaire de faire opposition? j'avais rempli l'ordre. y a t il un cout? merci f XXXXXX
0000000012|2017-12-14T20:41:26.000+01:00|CLIE|sortie de parts sociales|monsieur XXXXX, je souhaite faire sortir les autres parts sociales (investissements en federal ethiques probablement)des le mois de janvier. possible d' envisager rdv dans la premiere semaine de janvier ? merci pour votre attention. cordialement. p. XXXXXXX
0000000012|2017-12-15T13:57:18.000+01:00|CLIE|re : re: sortie de parts sociales|monsieur XXXXX, disponible le N janvier, j' ai opte pour un rendez-vous avec votre binome mr XXXXX. cordialement. p. XXXXXXX
0000000013|2017-12-31T11:05:33.000+01:00|CLIE|taxation sur les interets assurance-vie|monsieur XXXXX, en prevision du rendez-vous du N janvier, je m' interroge sur la taxation assurance-vie mise en place a compter du NN/NN. besoin d' avoir une information precise sur ce que je possede afin de reorienter au besoin pour ne pas etre soumis a cette taxation. ce qui concerne le soutien a l' economie ne serait pas concerne par cette taxe. souhaite evoquer cela avec vous. cordialement. p. XXXXXXX
0000000014|2017-12-07T12:49:46.000+01:00|CLIE|renseignements sur un prelevement|bonjour pouvez vous me dire cest quoi ce prelevement du N decembre foriou?
0000000015|2017-12-02T14:44:39.000+01:00|CLIE|mail du NN novembre dernier|bonjour, avez vous aussi un retour sur notre echange du NN novembre dernier (cf mail ci dessous)? a saint jalmes angelique objet re : re: re : re: carte rechargeable XXXXXX date NN novembre NNNN [votre message a ete lu par votre conseiller] bonjour, je n'ai toujours pas un acces direct depuis ma racine (XXXXX XXXXXX) au releve de la carte bemix. pour y parvenir, je dois passer par mes cartes -> ...tutelles, enfants-> carte bemix puis cliquer sur le solde restant qui apparait. je ne sais pas si c'est normal ou s'il y a moyen de faire plus simple? bonne journee XXXXXX XXXXX - voir les messages precedents - message non contractuel
0000000016|2017-12-02T14:41:55.000+01:00|CLIE|rachat assurance vie|bonjour, comme convenu lors de notre dernier rdv du NN octobre dernier, nous vous sollicitons pour racheter NNk€ sur chacun de nos contrats previ options respectifs, a savoir : previ options XXXXX XXXXXX previ options XXXXX XXXXXXXXXX nous avons besoin de disposer de ces NNk€ sur notre compte courant joint principal pour le NN decembre NNNN. cordialement XXXXXX et XXXXXXXXXX XXXXX
0000000016|2017-12-06T10:52:35.000+01:00|CLIE|re : re: rachat assurance vie|bonjour, ce pervi option a ete nanti lors de la contraction du pret pour l'acquisition d'une chambre ehpad. aujourd'hui, le capital restant du est bien inferieur au montant du previ-option. ce que j'ai compris lors de notre dernier entretien avec mme saint james est que vous pouviez lever le nantissement, effectuer le rachat puis remettre le nantissement. logiquement, il pourrait devenir partiel pour l'avenir et XXXXXspondre au montant du capital restant du a ce jour. mme saint james reste t'elle notre conseillere? cordialement XXXXXX XXXXX
0000000016|2017-12-06T10:54:18.000+01:00|CLIE|re : re: rachat assurance vie|ce qui a ete convenu est de retirer la meme somme sur chacun des N previ options
0000000016|2017-12-13T08:23:51.000+01:00|CLIE|rachat assurance vie|bonjour, je reviens aux nouvelles concernant le rachat de NNNNN euros sur chacun de nos previ options. me concernant, l'operation a bien ete executee. les NNNNN euros sont bien sur notre compte cheque courant. je vous en remercie. par contre, qu'en est il pour celui de ma femme? cordialement XXXXXX XXXXX
0000000018|2017-12-27T12:17:11.000+01:00|CLIE|retard de virement|il y a un retard pour un virement que je devais avoir. j ai un cheque qui doit arrive merci
0000000019|2017-12-29T13:23:36.000+01:00|CLIE|virement|bonjour je vais recevoir mon virement mardi merci
0000000020|2017-12-07T11:55:47.000+01:00|CLIE|pret de NNNN euros|bonjour je vous ai envoye samedi matin le pret signe avec une copie de mon dernier bulletin de salaire. merci de me confirmer que le dossier est ok de votre cote et de me debloquer un premier montant de NNNN euros, comme indique sur le post it joint a mon envoi courrier. cdt XXXXXXX XXXXXXX NNNNNNNNNN
0000000021|2017-12-12T12:37:22.000+01:00|CLIE|deblocage de NNNN euros sur pret|madame XXXXXXX bonjour merci de debloquer NNNN euros sur mon pret de NNNN euros. il me restera donc NNNN euros a debloquer ulterieurement. cdt XXXXXXX XXXXXXX NNNNNNNNNN
0000000022|2017-12-30T09:54:14.000+01:00|CLIE|point compte le guevel|"bonjour madame XXXXX , en consultant tous mes comptes propres et mandataires je m'apercois que notre fils sacha le XXXXXX n'a pas de comptes propres cmb.( livret etc ..) mon autres fils ugo possede lui un livret bleu merci de me preciser si sacha a des comptes cmb , si oui , merci de me permettre d'y acceder afin de faire un bilan general de nos comptes cmb, que je consulte "" il est vrai"" rarement . bien cordialement XXXXXXX le XXXXXX"
0000000023|2017-12-30T09:58:57.000+01:00|CLIE|procuration sacha le guevel|bonjour suite a mon dernier mail et conseil aupres du standard telephonique cmb guingamp merci de mettre en place une procuration pour mon acces au compte de sacha qui vient f'avoir NN ans en NNNN. je suis deja mandataire pour mon autre fils ugo le XXXXXX, je me tiens a votre entiere disposition pour cette mise en oeuvre cordialement XXXXXXX le XXXXXX
0000000024|2017-12-23T23:07:01.000+01:00|CLIE|changement d'adresse|bonjour, voici comme souhaite un justificatif pour notre changement d'adresse a mr XXXXX XXXXXXX et moi meme. merci de bien vouloir effectuer le changement pour lui aussi. bonnes fetes. a bientot melle XXXXXXX XXXX
0000000025|2017-12-30T11:21:40.000+01:00|CLIE|compte leo|bonjour mon fils XXX ayant N comptes pour peu d'argent, je souhaiterai n'en garder qu'un seul. il en ouvrira d'autres quand il commencera a travailler . merci de tout regrouper sur un seul compte, le plus pratique pour lui pour qu'il puisse avoir une carte de paiement plus tard. bonnes fetes de fin d'anneee cordialement. XXXX XXXXXX
0000000026|2017-12-31T16:23:10.000+01:00|CLIE|credit immobilier|bonjour monsieur, mes proprietaires mettent en vente l'appartement que j'occupe actuellement. ils me le proposent au prix de NNN NNN euros. je souhaiterais que vous me fassiez une simulation de credit immobilier sur NN ans sachant que j'ai NN ans, aucun apport financier et que j'envisage serieusement de divorcer. je serai donc le seul acquereur et je ne peux pas verser des mensualites superieures a N NNN euros. je dois donner une reponse aux proprietaires avant le NN fevrier NNNN. merci de votre reponse. cordialement, XXXXXXX jaguin XXXXX
0000000027|2017-12-13T13:43:23.000+01:00|CLIE|pret|bonjour, je souhaiterais savoir s'il reste de l'argent a debloquer sur mon pret. si oui, combien. cordialement mme XXXX
